superset,tokens
53,"[652, 564, 7606, 28267, 4131, 22069, 1270, 3427, 5411, 816, 432, 6151, 20074, 4959, 2960, 29682, 19723, 6114, 1432, 8178, 1209, 12809]"
54,"[29903, 1073, 29924, 3123, 443, 2579, 524, 6352, 14910, 2095, 14520, 7333, 24947, 8494, 1862, 3077, 6813, 1501, 18469, 15982, 5973]"
55,"[29925, 5855, 1072, 29902, 2094, 442, 1605, 2578, 12182, 4989, 20446, 2287, 6751, 9839]"
56,"[270, 943, 386, 2000, 282, 3637, 378, 12137, 19152, 13880, 9358, 2849, 3253, 26905, 621, 1015, 865, 16492, 11787, 13352, 29808, 16976, 2514, 1330]"
57,"[271, 4525, 379, 14002, 4328, 387, 7075, 8764, 7344, 7568, 283, 10879, 9570, 1014, 3049, 3252, 5169, 3934, 6511, 13741, 9359, 14737, 8421, 28544, 2779, 22368, 11715, 13095, 3575, 20533, 19267]"
58,"[512, 354, 11174, 405, 13901, 2827, 1446, 806, 6227, 4926, 12096, 5700, 970, 1089, 9312, 2361, 16080, 29733, 12314, 30187]"
59,"[488, 24424, 4892, 3085, 10517, 538, 1784, 4226, 355, 5870, 2177, 15064, 495, 404, 11264, 1196, 8357, 2218, 19194, 14268, 18845, 2298, 14958, 1867, 513, 4528]"
60,"[25828, 333, 2679, 794, 13112, 29956, 5436, 674, 14703, 600, 15835, 4418, 1254, 2477, 2812, 21703, 6781, 1401, 7870, 17545]"
61,"[4556, 675, 476, 16172, 332, 23023, 601, 4089, 6030, 19772, 11614, 2409, 13113, 13723, 4853, 2678, 2813, 1400, 6529, 6426, 7681]"
62,"[24207, 540, 26808, 29853, 2801, 2506, 2035, 534, 4939, 11648, 5888, 21726, 15788, 5676, 18778, 18655]"
63,"[541, 25618, 5758, 14060, 5189, 15589, 22986, 3984, 535, 13261, 26666, 15731, 4152, 2546, 1512, 26940, 18650, 6724, 5365, 6416, 4883, 1853]"
64,"[293, 598, 19263, 267, 277, 616, 1757, 8062, 594, 4038, 10501, 10221, 3820, 7278, 2323, 1460, 1529, 11248, 23968, 5342, 3889]"
65,"[292, 1891, 7539, 3821, 6403, 1461, 10122, 276, 3834, 599, 713, 266, 27477, 17097, 9796, 6095, 17204, 22498, 11135, 2911, 2634, 9969]"
66,"[370, 5192, 752, 18658, 498, 6405, 1082, 2744, 3150, 585, 364, 4350, 5498, 1857, 4482, 471, 19799, 8452, 4727, 9590, 12613, 748, 13023, 9773, 16892]"
67,"[470, 2531, 365, 938, 499, 1999, 29934, 749, 3303, 5084, 22193, 584, 5254, 19119, 4257, 1237, 19798, 8377, 371, 24494, 29373, 24338, 8453, 1083, 2768, 1572, 4337, 4358, 5842, 21159, 28927]"
68,"[3186, 300, 610, 10225, 3942, 20098, 5825, 10188, 882, 1095, 7338, 21990, 5925, 9662, 17977, 3206, 1894, 18350, 1133, 1065]"
69,"[23448, 301, 29911, 760, 883, 4649, 12409, 6572, 13377, 7243, 1094, 7967, 25014, 5824, 11828, 2197, 7187, 6176, 10071, 9037]"
70,"[262, 10812, 12875, 1953, 738, 1122, 626, 2200, 29265, 3587, 15058, 1173, 2180, 5773, 15099, 2251, 9665, 2029, 2190, 24389, 3546, 23468, 25158, 23799, 27253, 637, 2615, 3460, 6411, 10829, 5683]"
71,"[263, 739, 17135, 6410, 627, 4486, 868, 2582, 3547, 2028, 6518, 13855, 5682, 2191, 2181, 25451, 2614, 8042, 1123, 7584, 2559, 9306, 26871]"
72,"[22261, 29887, 12817, 3021, 7004, 6892, 2324, 29877, 5375, 339, 2497, 13318, 19805, 17120, 11078, 3146, 21784, 28600, 7959, 6382, 2495, 25996]"
73,"[338, 20488, 29886, 29876, 5613, 10772, 9232, 1803, 7018, 1177, 3844, 21785, 11758, 27721, 3738, 16650, 11654]"
74,"[3619, 2931, 8945, 341, 2448, 2693, 1539, 424, 4469, 6394, 4497, 2204, 3803, 862, 3885, 11761, 5935, 5705, 7374, 945, 6459, 12080, 7083, 2788, 12032]"
75,"[22330, 2673, 15189, 340, 11541, 2692, 1568, 11421, 425, 4287, 1485, 3714, 3802, 7773, 6322, 10049, 2486, 10952]"
